,constructorId,driverId,fastestLap,fastestLapSpeed,fastestLapTime,grid,laps,milliseconds,number,points,position,positionOrder,positionText,raceId,rank,resultId,statusId,time
23970,210,825,60,193.987,1:21.302,9,69,0,20,6,7,7,7,1000,6,24009,11,00:00:00
23971,166,816,60,194.142,1:19.902,23,68,0,25,0,19,19,19,859,22,21226,13,00:00:00
23972,15,828,60,194.379,1:26.213,16,64,0,9,0,11,11,11,973,10,23469,12,00:00:00
23973,6,4,60,195.853,1:34.626,4,60,5854314,5,18,2,2,2,850,5,20993,1,+3.980
23974,9,17,60,196.18,1:34.468,1,60,5860122,2,15,3,3,3,850,2,20994,1,+9.788
23975,207,819,60,197.777,1:19.380,18,67,0,20,0,18,18,18,886,19,21861,13,00:00:00
23976,9,830,60,199.176,1:19.184,7,70,5781175,33,18,2,2,2,1033,4,24667,1,+8.702
23977,3,3,60,200.231,1:23.693,11,65,5555768,16,3,6,6,6,39,10,440,1,+59.538
23978,131,1,60,200.84,1:18.528,3,70,5703796,44,25,1,1,1,1021,2,24426,1,1:35:03.796
23979,166,810,60,202.071,1:16.767,21,62,0,25,0,0,23,N,354,18,20753,19,00:00:00
23980,131,3,60,202.93,1:16.442,2,71,5595348,9,10,5,5,5,899,6,22112,1,+39.048
23981,3,6,60,203.443,1:18.054,15,69,0,8,0,15,15,15,25,15,163,11,00:00:00
23982,3,840,60,204.129,1:22.095,18,64,0,18,0,11,11,11,993,12,23872,12,00:00:00
23983,3,849,60,204.291,1:22.030,19,64,0,6,0,18,18,18,1036,9,24743,12,00:00:00
23984,10,16,60,204.721,1:15.773,20,69,0,20,0,16,16,16,35,17,364,12,00:00:00
23985,208,154,60,205.796,1:20.013,19,66,0,10,0,18,18,18,869,17,21465,11,00:00:00
23986,210,154,60,205.909,1:16.245,14,69,0,8,0,14,14,14,1016,12,24339,11,00:00:00
23987,51,8,60,206.652,1:21.058,16,65,0,7,0,11,11,11,1042,15,24856,11,00:00:00
23988,10,807,60,206.769,1:29.230,12,60,5525742,12,4,8,8,8,876,10,21623,1,+54.998
23989,51,8,60,206.96,1:19.563,5,64,6313489,7,0,12,12,12,1020,15,24417,1,+42.214
23990,15,836,60,207.351,1:14.812,15,70,0,94,0,14,14,14,987,17,23755,11,00:00:00
23991,51,841,60,207.646,1:19.300,11,64,6315124,99,0,13,13,13,1020,14,24418,1,+43.849
23992,131,3,60,207.669,1:15.599,2,70,5527389,6,10,5,5,5,954,1,23053,1,+1:02.093
23993,5,817,60,207.697,1:28.831,11,60,5548424,19,1,10,10,10,896,10,22051,1,+1:16.237
23994,9,20,60,207.95,1:28.723,1,60,5470744,1,25,1,1,1,876,4,21616,1,1:31:10.744
23995,51,8,60,208.101,1:15.442,16,69,0,7,0,15,15,15,1016,6,24340,11,00:00:00
23996,6,4,60,208.168,1:28.630,5,60,5480181,5,18,2,2,2,876,3,21617,1,+9.437
23997,3,811,60,208.637,1:28.431,13,60,5545719,19,1,10,10,10,876,2,21625,1,+1:14.975
23998,10,16,60,208.665,1:28.419,13,60,5546921,15,2,9,9,9,896,3,22050,1,+1:14.734
23999,1,18,60,209.176,1:28.203,4,60,5497010,3,10,5,5,5,876,1,21620,1,+26.266
24000,1,18,60,209.737,1:27.967,4,60,5443435,4,18,2,2,2,857,4,21161,1,+8.433
24001,9,830,60,210.267,1:28.139,3,60,5754111,33,19,2,2,2,1041,1,24827,1,+4.470
24002,208,8,60,210.426,1:27.679,6,60,5540175,7,6,7,7,7,896,1,22048,1,+1:07.988
24003,3,13,60,211.19,1:13.452,9,71,5555144,19,6,7,7,7,987,11,23748,1,+1:08.882
24004,9,20,60,211.463,1:27.249,1,60,5435002,1,25,1,1,1,857,1,21160,1,1:30:35.002
24005,1,4,60,211.811,1:17.741,11,65,0,14,0,16,16,16,999,11,23998,31,00:00:00
24006,3,847,60,212.51,1:17.485,17,64,6297679,63,0,11,11,11,1020,3,24416,1,+26.404
24007,10,807,60,212.882,1:13.156,10,71,5319113,27,2,9,9,9,907,11,22292,1,+44.137
24008,1,18,60,213.752,1:12.858,11,71,5325942,22,0,11,11,11,907,8,22294,1,+50.966
24009,15,21,60,214.857,1:22.654,18,61,0,11,0,9,9,9,93,10,1583,11,00:00:00
24010,3,2,60,217.687,1:16.519,17,65,0,8,0,10,10,10,75,7,1228,11,00:00:00
24011,131,1,60,217.888,1:11.475,1,71,5425730,44,18,2,2,2,933,2,22677,1,+8.800
